Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
AGE 10 - RCTAG,A,Chamber3,9272,SAA,5,13,25.167,4.19,41.94,32.4,0,612
AGE 10 - RCTAG,A,Chamber3,9272,SAA,6,9,15.333,2.56,25.56,46.53,0,762
AGE 10 - RCTAG,A,Chamber3,9272,SAA,7,18,34.167,5.69,56.94,17.34,0,288
AGE 10 - RCTAG,A,Chamber3,9272,SAA,8,16,29.967,4.99,49.94,10.8,0,176
AGE 10 - RCTAG,A,Chamber3,9272,SAA,9,8,14.967,2.49,24.94,37.53,0,387
AGE 10 - RCTAG,A,Chamber3,9272,SAA,10,16,28.1,4.68,46.83,24.25,0,587
AGE 10 - RCTAG,A,Chamber4,8056,SAA,1,9,41.2,6.87,68.67,27.95,0,462
AGE 10 - RCTAG,A,Chamber4,8056,SAA,2,5,52.833,8.81,88.06,4.63,0,154
AGE 10 - RCTAG,A,Chamber4,8056,SAA,3,1,60,10,100,0.11,0,9
AGE 10 - RCTAG,A,Chamber4,8056,SAA,4,3,55.833,9.31,93.06,2.65,0,201
AGE 10 - RCTAG,A,Chamber4,8056,SAA,5,1,60,10,100,0.09,0,9
AGE 10 - RCTAG,A,Chamber4,8056,SAA,6,2,55.8,9.3,93,4.66,0,312
AGE 10 - RCTAG,A,Chamber4,8056,SAA,7,6,52.5,8.75,87.5,3.21,0,225
AGE 10 - RCTAG,A,Chamber4,8056,SAA,8,2,59.333,9.89,98.89,0.35,0,54
AGE 10 - RCTAG,A,Chamber4,8056,SAA,9,6,47.567,7.93,79.28,10.19,0,215
AGE 10 - RCTAG,A,Chamber4,8056,SAA,10,5,57.167,9.53,95.28,1.17,0,64
AGE 10 - RCTAG,B,Chamber1,9228,SAA,1,1,1.233,0.21,2.06,118.01,0,1020
AGE 10 - RCTAG,B,Chamber1,9228,SAA,2,0,0,0,0,174.79,0,1453
AGE 10 - RCTAG,B,Chamber1,9228,SAA,3,0,0,0,0,210.08,0,1287
AGE 10 - RCTAG,B,Chamber1,9228,SAA,4,1,1.5,0.25,2.5,233.71,0,1706
AGE 10 - RCTAG,B,Chamber1,9228,SAA,5,0,0,0,0,419.27,0,1954
AGE 10 - RCTAG,B,Chamber1,9228,SAA,6,0,0,0,0,391.38,0,1766
AGE 10 - RCTAG,B,Chamber1,9228,SAA,7,2,2.433,0.41,4.06,250.33,0,1579
AGE 10 - RCTAG,B,Chamber1,9228,SAA,8,1,1.3,0.22,2.17,243.89,0,1635
AGE 10 - RCTAG,B,Chamber1,9228,SAA,9,0,0,0,0,296.3,0,1520
AGE 10 - RCTAG,B,Chamber1,9228,SAA,10,3,3.933,0.66,6.56,269.02,0,1893
AGE 10 - RCTAG,B,Chamber2,9229,SAA,1,6,12.167,2.03,20.28,20.42,0,421
AGE 10 - RCTAG,B,Chamber2,9229,SAA,2,14,18.467,3.08,30.78,19.91,0,376
AGE 10 - RCTAG,B,Chamber2,9229,SAA,3,15,17.233,2.87,28.72,17.67,0,360
AGE 10 - RCTAG,B,Chamber2,9229,SAA,4,12,22.567,3.76,37.61,22.09,0,450
AGE 10 - RCTAG,B,Chamber2,9229,SAA,5,8,19,3.17,31.67,56.52,0,502
AGE 10 - RCTAG,B,Chamber2,9229,SAA,6,1,2.333,0.39,3.89,193.8,0,1258
AGE 10 - RCTAG,B,Chamber2,9229,SAA,7,0,0,0,0,237.19,0,1211
AGE 10 - RCTAG,B,Chamber2,9229,SAA,8,2,2.2,0.37,3.67,309.76,0,1509
AGE 10 - RCTAG,B,Chamber2,9229,SAA,9,0,0,0,0,294.02,0,1493
AGE 10 - RCTAG,B,Chamber2,9229,SAA,10,0,0,0,0,317.88,0,8134
AGE 10 - RCTAG,B,Chamber3,8060,SAA,1,8,47.533,7.92,79.22,5.52,0,175
AGE 10 - RCTAG,B,Chamber3,8060,SAA,2,3,55.5,9.25,92.5,1.66,0,161
AGE 10 - RCTAG,B,Chamber3,8060,SAA,3,1,59.9,9.98,99.83,0.03,0,21
AGE 10 - RCTAG,B,Chamber3,8060,SAA,4,3,59.433,9.91,99.06,0.37,0,52
AGE 10 - RCTAG,B,Chamber3,8060,SAA,5,6,55.733,9.29,92.89,1.98,0,87
AGE 10 - RCTAG,B,Chamber3,8060,SAA,6,4,56.1,9.35,93.5,1.28,0,69
AGE 10 - RCTAG,B,Chamber3,8060,SAA,7,6,56.333,9.39,93.89,1.89,0,98
AGE 10 - RCTAG,B,Chamber3,8060,SAA,8,4,57.767,9.63,96.28,0.84,0,73
AGE 10 - RCTAG,B,Chamber3,8060,SAA,9,5,59.733,9.96,99.56,0.42,0,33
AGE 10 - RCTAG,B,Chamber3,8060,SAA,10,2,59.733,9.96,99.56,0.23,0,70
AGE 10 - RCTAG,B,Chamber4,8061,SAA,1,7,23.033,3.84,38.39,98.5,0,1329
AGE 10 - RCTAG,B,Chamber4,8061,SAA,2,6,54.3,9.05,90.5,1.66,0,121
AGE 10 - RCTAG,B,Chamber4,8061,SAA,3,5,55.633,9.27,92.72,1.72,0,113
AGE 10 - RCTAG,B,Chamber4,8061,SAA,4,7,57.033,9.51,95.06,1.39,0,91
AGE 10 - RCTAG,B,Chamber4,8061,SAA,5,5,57.333,9.56,95.56,1.55,0,110
AGE 10 - RCTAG,B,Chamber4,8061,SAA,6,6,57.867,9.64,96.44,1.51,0,137
AGE 10 - RCTAG,B,Chamber4,8061,SAA,7,1,60,10,100,0.41,0,15
AGE 10 - RCTAG,B,Chamber4,8061,SAA,8,3,59.5,9.92,99.17,0.5,0,26
AGE 10 - RCTAG,B,Chamber4,8061,SAA,9,5,58.967,9.83,98.28,0.62,0,28
AGE 10 - RCTAG,B,Chamber4,8061,SAA,10,6,56.633,9.44,94.39,1.93,0,91
AGE 10 - RCTAG,C,Chamber1,8753,SAB,1,4,5.1,0.85,8.5,105.57,0,693
AGE 10 - RCTAG,C,Chamber1,8753,SAB,2,2,2.6,0.43,4.33,166.6,0,1385
AGE 10 - RCTAG,C,Chamber1,8753,SAB,3,11,44.4,7.4,74,14.1,0,319
AGE 10 - RCTAG,C,Chamber1,8753,SAB,4,9,27.1,4.52,45.17,73.86,0,894
AGE 10 - RCTAG,C,Chamber1,8753,SAB,5,2,2.967,0.49,4.94,187.68,0,1611
AGE 10 - RCTAG,C,Chamber1,8753,SAB,6,1,2.233,0.37,3.72,152.33,0,953
AGE 10 - RCTAG,C,Chamber1,8753,SAB,7,0,0,0,0,159.87,0,1475
AGE 10 - RCTAG,C,Chamber1,8753,SAB,8,0,0,0,0,230.77,0,1689
AGE 10 - RCTAG,C,Chamber1,8753,SAB,9,2,2.133,0.36,3.56,147.49,0,827
AGE 10 - RCTAG,C,Chamber1,8753,SAB,10,1,1.1,0.18,1.83,240.17,0,1510
AGE 10 - RCTAG,C,Chamber2,8350,SAB,1,0,0,0,0,557.49,0,2112
AGE 10 - RCTAG,C,Chamber2,8350,SAB,2,0,0,0,0,572.32,0,2304
AGE 10 - RCTAG,C,Chamber2,8350,SAB,3,0,0,0,0,622.33,0,2565
AGE 10 - RCTAG,C,Chamber2,8350,SAB,4,0,0,0,0,503.19,0,2234
AGE 10 - RCTAG,C,Chamber2,8350,SAB,5,0,0,0,0,438.78,0,1633
AGE 10 - RCTAG,C,Chamber2,8350,SAB,6,0,0,0,0,355.2,0,1763
AGE 10 - RCTAG,C,Chamber2,8350,SAB,7,0,0,0,0,338.96,0,1617
AGE 10 - RCTAG,C,Chamber2,8350,SAB,8,0,0,0,0,319.37,0,1678
AGE 10 - RCTAG,C,Chamber2,8350,SAB,9,0,0,0,0,229.59,0,1486
AGE 10 - RCTAG,C,Chamber2,8350,SAB,10,2,2.933,0.49,4.89,185.44,0,1655
AGE 10 - RCTAG,C,Chamber3,8284,SAB,1,9,20.233,3.37,33.72,47.8,0,471
AGE 10 - RCTAG,C,Chamber3,8284,SAB,2,6,9.767,1.63,16.28,78.88,0,1003
AGE 10 - RCTAG,C,Chamber3,8284,SAB,3,8,17.833,2.97,29.72,73.36,0,1077
AGE 10 - RCTAG,C,Chamber3,8284,SAB,4,8,17.067,2.84,28.44,47.65,0,1375
AGE 10 - RCTAG,C,Chamber3,8284,SAB,5,8,16.133,2.69,26.89,46.71,0,534
AGE 10 - RCTAG,C,Chamber3,8284,SAB,6,11,33.833,5.64,56.39,21.47,0,474
AGE 10 - RCTAG,C,Chamber3,8284,SAB,7,6,53.767,8.96,89.61,4.09,0,125
AGE 10 - RCTAG,C,Chamber3,8284,SAB,8,8,50.9,8.48,84.83,5.05,0,134
AGE 10 - RCTAG,C,Chamber3,8284,SAB,9,5,12.3,2.05,20.5,50.73,0,536
AGE 10 - RCTAG,C,Chamber3,8284,SAB,10,8,11.167,1.86,18.61,62.69,0,1535
AGE 10 - RCTAG,C,Chamber4,9266,SAB,1,0,0,0,0,271.16,0,1268
AGE 10 - RCTAG,C,Chamber4,9266,SAB,2,0,0,0,0,344.22,1,1413
AGE 10 - RCTAG,C,Chamber4,9266,SAB,3,0,0,0,0,230.11,0,1163
AGE 10 - RCTAG,C,Chamber4,9266,SAB,4,1,1,0.17,1.67,252.04,0,1413
AGE 10 - RCTAG,C,Chamber4,9266,SAB,5,0,0,0,0,252.95,0,890
AGE 10 - RCTAG,C,Chamber4,9266,SAB,6,3,3.2,0.53,5.33,261.09,0,1323
AGE 10 - RCTAG,C,Chamber4,9266,SAB,7,0,0,0,0,271.68,0,1501
AGE 10 - RCTAG,C,Chamber4,9266,SAB,8,3,4.767,0.79,7.94,163.94,0,997
AGE 10 - RCTAG,C,Chamber4,9266,SAB,9,3,3.233,0.54,5.39,195.98,0,1398
AGE 10 - RCTAG,C,Chamber4,9266,SAB,10,0,0,0,0,212.2,0,1125
AGE 10 - RCTAG,D,Chamber1,8351,SAB,1,2,2.3,0.38,3.83,216.39,0,2007
AGE 10 - RCTAG,D,Chamber1,8351,SAB,2,5,16,2.67,26.67,132.09,0,2122
AGE 10 - RCTAG,D,Chamber1,8351,SAB,3,10,30.533,5.09,50.89,25.74,0,480
AGE 10 - RCTAG,D,Chamber1,8351,SAB,4,1,5.2,0.87,8.67,165.22,0,1898
AGE 10 - RCTAG,D,Chamber1,8351,SAB,5,4,5.633,0.94,9.39,106.69,0,1282
AGE 10 - RCTAG,D,Chamber1,8351,SAB,6,11,28.467,4.74,47.44,25.17,0,624
AGE 10 - RCTAG,D,Chamber1,8351,SAB,7,11,33.033,5.51,55.06,18.36,0,450
AGE 10 - RCTAG,D,Chamber1,8351,SAB,8,9,34.1,5.68,56.83,14.61,0,275
AGE 10 - RCTAG,D,Chamber1,8351,SAB,9,10,33.7,5.62,56.17,18.88,0,330
AGE 10 - RCTAG,D,Chamber1,8351,SAB,10,12,23.5,3.92,39.17,17.12,0,317
AGE 10 - RCTAG,D,Chamber2,8352,SAB,1,3,4.267,0.71,7.11,253.39,0,1726
AGE 10 - RCTAG,D,Chamber2,8352,SAB,2,10,32.967,5.49,54.94,51.11,0,958
AGE 10 - RCTAG,D,Chamber2,8352,SAB,3,13,53.867,8.98,89.78,2.97,0,385
AGE 10 - RCTAG,D,Chamber2,8352,SAB,4,11,43.3,7.22,72.17,16.13,0,263
AGE 10 - RCTAG,D,Chamber2,8352,SAB,5,0,0,0,0,230.63,0,1431
AGE 10 - RCTAG,D,Chamber2,8352,SAB,6,2,2.9,0.48,4.83,183.31,0,1177
AGE 10 - RCTAG,D,Chamber2,8352,SAB,7,3,3.933,0.66,6.56,219.12,0,1179
AGE 10 - RCTAG,D,Chamber2,8352,SAB,8,0,0,0,0,207.18,0,1476
AGE 10 - RCTAG,D,Chamber2,8352,SAB,9,0,0,0,0,139.62,0,1240
AGE 10 - RCTAG,D,Chamber2,8352,SAB,10,6,6.8,1.13,11.33,114.81,0,1346
AGE 10 - RCTAG,D,Chamber3,9275,SAB,1,2,3.667,0.61,6.11,128.73,0,1136
AGE 10 - RCTAG,D,Chamber3,9275,SAB,2,1,1,0.17,1.67,101.51,0,909
AGE 10 - RCTAG,D,Chamber3,9275,SAB,3,1,4.4,0.73,7.33,104.76,0,743
AGE 10 - RCTAG,D,Chamber3,9275,SAB,4,0,0,0,0,117.28,0,1056
AGE 10 - RCTAG,D,Chamber3,9275,SAB,5,3,4.1,0.68,6.83,88.16,0,969
AGE 10 - RCTAG,D,Chamber3,9275,SAB,6,2,2.8,0.47,4.67,124.03,0,974
AGE 10 - RCTAG,D,Chamber3,9275,SAB,7,4,5.733,0.96,9.56,71.75,0,668
AGE 10 - RCTAG,D,Chamber3,9275,SAB,8,0,0,0,0,97.79,0,731
AGE 10 - RCTAG,D,Chamber3,9275,SAB,9,1,2.067,0.34,3.44,84.14,0,697
AGE 10 - RCTAG,D,Chamber3,9275,SAB,10,3,4.4,0.73,7.33,99.09,0,713
AGE 10 - RCTAG,D,Chamber4,9276,SAB,1,0,0,0,0,177.51,0,879
AGE 10 - RCTAG,D,Chamber4,9276,SAB,2,2,2.667,0.44,4.44,182.88,0,1199
AGE 10 - RCTAG,D,Chamber4,9276,SAB,3,3,3.467,0.58,5.78,135.95,0,881
AGE 10 - RCTAG,D,Chamber4,9276,SAB,4,5,6.6,1.1,11,135.43,0,1108
AGE 10 - RCTAG,D,Chamber4,9276,SAB,5,1,1.1,0.18,1.83,81.76,0,721
AGE 10 - RCTAG,D,Chamber4,9276,SAB,6,1,1.333,0.22,2.22,136.01,0,802
AGE 10 - RCTAG,D,Chamber4,9276,SAB,7,0,0,0,0,156.67,0,954
AGE 10 - RCTAG,D,Chamber4,9276,SAB,8,0,0,0,0,144.1,0,993
AGE 10 - RCTAG,D,Chamber4,9276,SAB,9,2,2.667,0.44,4.44,152.24,0,921
AGE 10 - RCTAG,D,Chamber4,9276,SAB,10,1,1.5,0.25,2.5,112.93,0,841
AGE 10 - RCTAG,E,Chamber1,9220,CAA,1,1,1.267,0.21,2.11,96.29,0,1112
AGE 10 - RCTAG,E,Chamber1,9220,CAA,2,5,5.767,0.96,9.61,56.99,0,746
AGE 10 - RCTAG,E,Chamber1,9220,CAA,3,12,14.5,2.42,24.17,29.76,0,329
AGE 10 - RCTAG,E,Chamber1,9220,CAA,4,5,6,1,10,182.67,0,1196
AGE 10 - RCTAG,E,Chamber1,9220,CAA,5,1,1.167,0.19,1.94,182.98,0,1233
AGE 10 - RCTAG,E,Chamber1,9220,CAA,6,6,7.033,1.17,11.72,110.13,0,1029
AGE 10 - RCTAG,E,Chamber1,9220,CAA,7,0,0,0,0,175.93,0,1444
AGE 10 - RCTAG,E,Chamber1,9220,CAA,8,6,7.567,1.26,12.61,194.45,0,1114
AGE 10 - RCTAG,E,Chamber1,9220,CAA,9,0,0,0,0,254.44,0,1190
AGE 10 - RCTAG,E,Chamber1,9220,CAA,10,0,0,0,0,232.21,0,1365
AGE 10 - RCTAG,E,Chamber2,9221,CAA,1,0,0,0,0,214.02,0,1099
AGE 10 - RCTAG,E,Chamber2,9221,CAA,2,1,1,0.17,1.67,176.8,0,1391
AGE 10 - RCTAG,E,Chamber2,9221,CAA,3,0,0,0,0,188.19,0,1257
AGE 10 - RCTAG,E,Chamber2,9221,CAA,4,1,1.467,0.24,2.44,136.2,0,1381
AGE 10 - RCTAG,E,Chamber2,9221,CAA,5,1,1.433,0.24,2.39,180.6,0,1442
AGE 10 - RCTAG,E,Chamber2,9221,CAA,6,2,2.567,0.43,4.28,153.86,0,952
AGE 10 - RCTAG,E,Chamber2,9221,CAA,7,2,2.3,0.38,3.83,172.51,0,3520
AGE 10 - RCTAG,E,Chamber2,9221,CAA,8,3,4.267,0.71,7.11,146.51,0,3266
AGE 10 - RCTAG,E,Chamber2,9221,CAA,9,4,5.267,0.88,8.78,108.75,0,2234
AGE 10 - RCTAG,E,Chamber2,9221,CAA,10,13,19.733,3.29,32.89,82.01,0,2688
AGE 10 - RCTAG,E,Chamber3,9278,CAA,1,1,1.067,0.18,1.78,105.41,0,751
AGE 10 - RCTAG,E,Chamber3,9278,CAA,2,1,1.2,0.2,2,114.58,0,838
AGE 10 - RCTAG,E,Chamber3,9278,CAA,3,0,0,0,0,162.34,0,1160
AGE 10 - RCTAG,E,Chamber3,9278,CAA,4,0,0,0,0,169.83,0,828
AGE 10 - RCTAG,E,Chamber3,9278,CAA,5,1,1.233,0.21,2.06,141.93,0,862
AGE 10 - RCTAG,E,Chamber3,9278,CAA,6,1,1.067,0.18,1.78,107.66,0,767
AGE 10 - RCTAG,E,Chamber3,9278,CAA,7,0,0,0,0,170.07,0,854
AGE 10 - RCTAG,E,Chamber3,9278,CAA,8,1,1.033,0.17,1.72,137.76,0,1248
AGE 10 - RCTAG,E,Chamber3,9278,CAA,9,1,1.1,0.18,1.83,148.36,0,845
AGE 10 - RCTAG,E,Chamber3,9278,CAA,10,2,3.033,0.51,5.06,119.35,0,1092
AGE 10 - RCTAG,E,Chamber4,9224,CAA,1,0,0,0,0,80.21,0,850
AGE 10 - RCTAG,E,Chamber4,9224,CAA,2,0,0,0,0,89.82,0,995
AGE 10 - RCTAG,E,Chamber4,9224,CAA,3,3,3.433,0.57,5.72,132.46,0,899
AGE 10 - RCTAG,E,Chamber4,9224,CAA,4,0,0,0,0,196.2,0,1206
AGE 10 - RCTAG,E,Chamber4,9224,CAA,5,1,1.4,0.23,2.33,179.82,0,1084
AGE 10 - RCTAG,E,Chamber4,9224,CAA,6,0,0,0,0,211.5,0,1161
AGE 10 - RCTAG,E,Chamber4,9224,CAA,7,0,0,0,0,190.59,0,1440
AGE 10 - RCTAG,E,Chamber4,9224,CAA,8,0,0,0,0,187.49,0,1108
AGE 10 - RCTAG,E,Chamber4,9224,CAA,9,0,0,0,0,192.55,0,1169
AGE 10 - RCTAG,E,Chamber4,9224,CAA,10,2,2.233,0.37,3.72,140.2,0,990
AGE 10 - RCTAG,F,Chamber1,9222,CAA,1,0,0,0,0,249.65,0,1133
AGE 10 - RCTAG,F,Chamber1,9222,CAA,2,0,0,0,0,326.26,0,1081
AGE 10 - RCTAG,F,Chamber1,9222,CAA,3,0,0,0,0,282.83,0,1123
AGE 10 - RCTAG,F,Chamber1,9222,CAA,4,0,0,0,0,309.59,0,1372
AGE 10 - RCTAG,F,Chamber1,9222,CAA,5,1,1.067,0.18,1.78,200.89,0,1296
AGE 10 - RCTAG,F,Chamber1,9222,CAA,6,0,0,0,0,242.39,0,1138
AGE 10 - RCTAG,F,Chamber1,9222,CAA,7,0,0,0,0,265.01,0,1297
AGE 10 - RCTAG,F,Chamber1,9222,CAA,8,0,0,0,0,194.68,0,1405
AGE 10 - RCTAG,F,Chamber1,9222,CAA,9,0,0,0,0,234.91,0,1036
AGE 10 - RCTAG,F,Chamber1,9222,CAA,10,1,1.033,0.17,1.72,260.02,0,1281
AGE 10 - RCTAG,F,Chamber2,8358,CAA,1,0,0,0,0,128.97,0,751
AGE 10 - RCTAG,F,Chamber2,8358,CAA,2,1,1,0.17,1.67,218.45,0,1341
AGE 10 - RCTAG,F,Chamber2,8358,CAA,3,0,0,0,0,175.82,0,1258
AGE 10 - RCTAG,F,Chamber2,8358,CAA,4,0,0,0,0,228.83,0,1235
AGE 10 - RCTAG,F,Chamber2,8358,CAA,5,0,0,0,0,261.93,0,1366
AGE 10 - RCTAG,F,Chamber2,8358,CAA,6,0,0,0,0,314.86,0,1510
AGE 10 - RCTAG,F,Chamber2,8358,CAA,7,0,0,0,0,313.92,0,1677
AGE 10 - RCTAG,F,Chamber2,8358,CAA,8,0,0,0,0,220.66,0,1363
AGE 10 - RCTAG,F,Chamber2,8358,CAA,9,0,0,0,0,260.43,0,1340
AGE 10 - RCTAG,F,Chamber2,8358,CAA,10,0,0,0,0,296.82,0,1991
AGE 10 - RCTAG,F,Chamber3,9265,CAA,1,0,0,0,0,250.25,0,1072
AGE 10 - RCTAG,F,Chamber3,9265,CAA,2,0,0,0,0,203.97,0,1086
AGE 10 - RCTAG,F,Chamber3,9265,CAA,3,0,0,0,0,181.44,0,922
AGE 10 - RCTAG,F,Chamber3,9265,CAA,4,1,3.4,0.57,5.67,142.11,0,932
AGE 10 - RCTAG,F,Chamber3,9265,CAA,5,1,1.5,0.25,2.5,148.25,0,1008
AGE 10 - RCTAG,F,Chamber3,9265,CAA,6,3,3.3,0.55,5.5,136.56,0,895
AGE 10 - RCTAG,F,Chamber3,9265,CAA,7,1,1,0.17,1.67,139.07,0,1078
AGE 10 - RCTAG,F,Chamber3,9265,CAA,8,3,4.7,0.78,7.83,120.85,0,874
AGE 10 - RCTAG,F,Chamber3,9265,CAA,9,0,0,0,0,115.84,0,783
AGE 10 - RCTAG,F,Chamber3,9265,CAA,10,1,1,0.17,1.67,108.86,0,724
AGE 10 - RCTAG,F,Chamber4,9214,CAA,1,0,0,0,0,254.12,0,1102
AGE 10 - RCTAG,F,Chamber4,9214,CAA,2,0,0,0,0,240.24,0,1193
AGE 10 - RCTAG,F,Chamber4,9214,CAA,3,0,0,0,0,236.52,0,1797
AGE 10 - RCTAG,F,Chamber4,9214,CAA,4,0,0,0,0,267.02,0,1125
AGE 10 - RCTAG,F,Chamber4,9214,CAA,5,0,0,0,0,255.75,0,1358
AGE 10 - RCTAG,F,Chamber4,9214,CAA,6,0,0,0,0,225.25,0,1196
AGE 10 - RCTAG,F,Chamber4,9214,CAA,7,0,0,0,0,291.98,0,1372
AGE 10 - RCTAG,F,Chamber4,9214,CAA,8,0,0,0,0,229.98,0,1206
AGE 10 - RCTAG,F,Chamber4,9214,CAA,9,0,0,0,0,301.41,0,1313
AGE 10 - RCTAG,F,Chamber4,9214,CAA,10,0,0,0,0,133.63,0,1107
AGE 10 - RCTAG,G,Chamber1,8360,CAB,1,0,0,0,0,241.35,0,1356
AGE 10 - RCTAG,G,Chamber1,8360,CAB,2,0,0,0,0,254.34,0,1338
AGE 10 - RCTAG,G,Chamber1,8360,CAB,3,0,0,0,0,260.37,0,1721
AGE 10 - RCTAG,G,Chamber1,8360,CAB,4,0,0,0,0,239.87,0,1394
AGE 10 - RCTAG,G,Chamber1,8360,CAB,5,0,0,0,0,276.49,0,1574
AGE 10 - RCTAG,G,Chamber1,8360,CAB,6,0,0,0,0,245.06,0,1623
AGE 10 - RCTAG,G,Chamber1,8360,CAB,7,0,0,0,0,252.42,0,1426
AGE 10 - RCTAG,G,Chamber1,8360,CAB,8,0,0,0,0,233.79,0,1125
AGE 10 - RCTAG,G,Chamber1,8360,CAB,9,4,9.833,1.64,16.39,223.45,0,2574
AGE 10 - RCTAG,G,Chamber1,8360,CAB,10,2,4,0.67,6.67,123.3,0,1035
AGE 10 - RCTAG,G,Chamber2,8364,CAB,1,1,1.567,0.26,2.61,234.61,0,2017
AGE 10 - RCTAG,G,Chamber2,8364,CAB,2,0,0,0,0,329.42,0,1937
AGE 10 - RCTAG,G,Chamber2,8364,CAB,3,0,0,0,0,270.48,0,1465
AGE 10 - RCTAG,G,Chamber2,8364,CAB,4,0,0,0,0,304.5,0,1444
AGE 10 - RCTAG,G,Chamber2,8364,CAB,5,0,0,0,0,271.28,0,1482
AGE 10 - RCTAG,G,Chamber2,8364,CAB,6,0,0,0,0,239.81,0,2013
AGE 10 - RCTAG,G,Chamber2,8364,CAB,7,1,1.133,0.19,1.89,257.37,0,2084
AGE 10 - RCTAG,G,Chamber2,8364,CAB,8,1,1.333,0.22,2.22,231.33,0,1605
AGE 10 - RCTAG,G,Chamber2,8364,CAB,9,0,0,0,0,303.47,0,1778
AGE 10 - RCTAG,G,Chamber2,8364,CAB,10,1,1.5,0.25,2.5,210.47,0,1352
AGE 10 - RCTAG,G,Chamber3,9204,CAB,1,0,0,0,0,123.45,0,1007
AGE 10 - RCTAG,G,Chamber3,9204,CAB,2,0,0,0,0,128.39,0,1136
AGE 10 - RCTAG,G,Chamber3,9204,CAB,3,1,1.333,0.22,2.22,116.02,0,1140
AGE 10 - RCTAG,G,Chamber3,9204,CAB,4,0,0,0,0,108.2,0,897
AGE 10 - RCTAG,G,Chamber3,9204,CAB,5,2,3.733,0.62,6.22,113.36,0,1003
AGE 10 - RCTAG,G,Chamber3,9204,CAB,6,0,0,0,0,127.88,0,865
AGE 10 - RCTAG,G,Chamber3,9204,CAB,7,0,0,0,0,96.97,0,1204
AGE 10 - RCTAG,G,Chamber3,9204,CAB,8,3,4.3,0.72,7.17,78.27,0,624
AGE 10 - RCTAG,G,Chamber3,9204,CAB,9,0,0,0,0,109.25,0,693
AGE 10 - RCTAG,G,Chamber3,9204,CAB,10,2,3.367,0.56,5.61,100.54,0,666
AGE 10 - RCTAG,G,Chamber4,8487,CAB,1,0,0,0,0,266.6,0,1737
AGE 10 - RCTAG,G,Chamber4,8487,CAB,2,0,0,0,0,262.55,0,1248
AGE 10 - RCTAG,G,Chamber4,8487,CAB,3,0,0,0,0,282.38,0,1156
AGE 10 - RCTAG,G,Chamber4,8487,CAB,4,0,0,0,0,238.95,0,1398
AGE 10 - RCTAG,G,Chamber4,8487,CAB,5,0,0,0,0,280.93,0,1291
AGE 10 - RCTAG,G,Chamber4,8487,CAB,6,0,0,0,0,258.85,0,1417
