ID,SUBEXPT,GROUP,CODE,AGE,DOB,EXPT,DELTA.T,Mouse.ID.,VALENCE,CONTEXT,BATCH,FREEZE
3663,11A,CAB,G3,97,5/8/2015,AGE 11,1:40,3663,CONTEXT,AB,C,0
3664,11A,CAB,G4,97,5/8/2015,AGE 11,1:45,3664,CONTEXT,AB,C,6
3858,11A,CAB,H2,92,6/15/2015,AGE 11,1:42,3858,CONTEXT,AB,C,0
8004,10B,SAA,A1,42,4/20/2016,AGE 10,1:35,8004,SHOCK,AA,B,82
8006,10B,SAA,A2,42,4/20/2016,AGE 10,1:40,8006,SHOCK,AA,B,37
8056,10B,SAA,F1,40,5/4/2016,AGE 10,1:46,8056,SHOCK,AA,B,90
8060,10B,SAA,F3,40,5/4/2016,AGE 10,1:40,8060,SHOCK,AA,B,95
8061,10B,SAA,F4,40,5/4/2016,AGE 10,1:36,8061,SHOCK,AA,B,90
8284,10B,SAB,F5,34,6/16/2016,AGE 10,,8284,SHOCK,AB,B,41
8350,10B,SAB,D1,32,6/29/2016,AGE 10,1:45,8350,SHOCK,AB,B,0
8351,10B,SAB,D2,32,6/29/2016,AGE 10,1:30,8351,SHOCK,AB,B,35
8352,10B,SAB,D3,32,6/29/2016,AGE 10,1:37,8352,SHOCK,AB,B,25
8358,10A,CAA,K1,32,6/30/2016,AGE 10,1:55,8358,CONTEXT,AA,A,0
8360,10A,CAB,K3,32,6/30/2016,AGE 10,1:31,8360,CONTEXT,AB,A,2
8364,10A,CAB,K4,32,6/30/2016,AGE 10,1:24,8364,CONTEXT,AB,A,1
8365,10A,CAB,K5,32,6/30/2016,AGE 10,1:27,8365,CONTEXT,AB,A,0
8487,10A,CAB,J1,28,7/31/2016,AGE 10,1:42,8487,CONTEXT,AB,A,0
8488,10A,CAB,J2,28,7/31/2016,AGE 10,1:32,8488,CONTEXT,AB,A,0
8489,10A,CAB,J3,28,7/31/2016,AGE 10,1:37,8489,CONTEXT,AB,A,2
8492,10A,CAB,J4,28,7/31/2016,AGE 10,1:43,8492,CONTEXT,AB,A,1
8753,10B,SAB,C2,21,9/12/2016,AGE 10,1:58,8753,SHOCK,AB,B,15
9204,10A,CAB,H4,10,12/3/2016,AGE 10,1:36,9204,CONTEXT,AB,A,2
9214,10A,CAA,H3,10,12/3/2016,AGE 10,1:45,9214,CONTEXT,AA,A,0
9220,10A,CAA,I2,10,12/3/2016,AGE 10,1:49,9220,CONTEXT,AA,A,7
9221,10A,CAA,I3,10,12/3/2016,AGE 10,1:36,9221,CONTEXT,AA,A,6
9222,10A,CAA,I4,10,12/3/2016,AGE 10,1:50,9222,CONTEXT,AA,A,0
9224,10A,CAA,H1,10,12/3/2016,AGE 10,1:46,9224,CONTEXT,AA,A,1
9228,10B,SAA,B4,10,12/3/2016,AGE 10,1:46,9228,SHOCK,AA,B,2
9229,10B,SAA,B5,10,12/3/2016,AGE 10,1:52,9229,SHOCK,AA,B,16
9265,10A,CAA,H2,10,12/3/2016,AGE 10,1:41,9265,CONTEXT,AA,A,3
9266,10B,SAB,G1,8,12/15/2016,AGE 10,1:51,9266,SHOCK,AB,B,2
9272,10B,SAA,G2,8,12/15/2016,AGE 10,1:52,9272,SHOCK,AA,B,40
9275,10B,SAB,G3,8,12/15/2016,AGE 10,1:46,9275,SHOCK,AB,B,5
9276,10B,SAB,G4,8,12/15/2016,AGE 10,1:41,9276,SHOCK,AB,B,3
9278,10A,CAA,G5,8,12/15/2016,AGE 10,1:45,9278,CONTEXT,AA,A,1
